ProductId,ImagePath,DisplayOrder
1,Tshirt01,1
2,Tshirt02,1
3,Tshirt03,1
4,Tshirt04,1
5,Tshirt05,1
6,Shirt01,1
7,Shirt02,1
8,Shirt03,1
9,Shirt04,1
10,Shirt05,1
11,Kaki01,1
12,Kaki02,1
13,Kaki03,1
14,Kaki04,1
15,Kaki05,1
16,Jeans01,1
17,Jeans02,1
18,Jeans03,1
19,Jeans04,1
20,Jeans05,1
21,Dress01,1
22,Dress02,1
23,Dress03,1
24,Dress04,1
25,Dress05,1
26,Skirt01,1
27,Skirt02,1
28,Skirt03,1
29,Skirt04,1
30,Skirt05,1
31,Tie01,1
32,Tie02,1
33,Tie03,1
34,Tie04,1
35,Tie05,1
36,Belt01,1
37,Belt02,1
38,Belt03,1
39,Belt04,1
40,Belt05,1
41,Glasses01,1
42,Glasses02,1
43,Glasses03,1
44,Glasses04,1
45,Glasses05,1
46,Shoes01,1
47,Shoes02,1
48,Shoes03,1
49,Shoes04,1
50,Shoes05,1
51,Bag01,1
52,Bag02,1
53,Bag03,1
54,Bag04,1
55,Bag05,1
